Numéro de produit,Numéro de fournisseur,Numéro de commande,Date de la réception,Quantité,Sous-total (sans les taxes),Montant de taxe fédérale,Montant de taxe provinciale,Prix coûtant régulier ou prix de détail sugg.,Escompte - Montant fixe,Escompte - Pourcentage,Prix coûtant,Numéro de client (facturé),Numéro de client (livré à),Numéro séquentiel de la commande client,Numéro de G/L - Achats,Code d'activité,Numéro de projet,Référence fichier Trans.dbf,Devise étrangère,Achat facturé (T/F),Code unique d identification,Niveau de taxe provinciale (1-21),ACPYBBIL
,PLOMB-MTCA,0000015,2020/02/12,0.000,368.0000,18.4000,36.7080,368.0000,0.000000,0.0000,368.0000,CIUSSS-ADM,,,33500,15401,0000020002,,,TRUE,C0LWNIQYU,1,046746
,ISOL-FLAMC,0000016,2020/02/18,0.000,182.4500,9.1225,18.1994,182.4500,0.000000,0.0000,182.4500,CIUSSS-ADM,,,33500,07000,0000020002,,,TRUE,JXTQ1CSV8,1,046745
,MULTIFORME,0000014,2020/02/24,0.000,15000.0000,750.0000,1496.2500,15000.0000,0.000000,0.0000,15000.0000,CIUSSS-ADM,,,33500,08000,0000020002,X000000017,,FALSE,ISEJ543NC,1,
,QUINC-PORT,0000013,2020/02/27,0.000,2192.0000,109.6000,218.6520,2192.0000,0.000000,0.0000,2192.0000,CIUSSS-ADM,,,33200,08000,0000020002,,,TRUE,89GP9BG0I,1,046767
,VITR-CLETE,0000082,2020/02/28,0.000,-798.0000,-39.9000,-79.6005,-798.0000,0.000000,0.0000,-798.0000,PARCS-CANA,,,33500,08500,0000019032,,,TRUE,32VAD50VU,1,046888
....................3,VITR-CLETE,0000082,2020/02/28,1.000,0.0000,0.0000,0.0000,0.0000,0.000000,0.0000,0.0000,PARCS-CANA,,,33200,,0000019032,,,TRUE,32VAD50VU,1,046888
....................4,VITR-CLETE,0000082,2020/02/28,1.000,0.0000,0.0000,0.0000,0.0000,0.000000,0.0000,0.0000,PARCS-CANA,,,33200,,0000019032,,,TRUE,32VAD50VU,1,046888
,PERI-TECH-,0000054,2020/03/02,0.000,225.0000,11.2500,22.4438,225.0000,0.000000,0.0000,225.0000,CIUSSS-ADM,,,33500,13930,0000019030,,,TRUE,D52LCQHH2,1,046834
,PERI-TECH-,0000008,2020/03/04,0.000,2284.0000,114.2000,227.8290,2284.0000,0.000000,0.0000,2284.0000,CIUSSS-ADM,,,33500,13910,0000020002,,,TRUE,GHLAFM5EO,1,046835
,F-DAIGLE--,0000068,2020/03/06,0.000,573.6500,28.6825,57.2216,573.6500,0.000000,0.0000,573.6500,SIX-PINTS-,,,33200,08110,0000020005,,,TRUE,6SH3LMRDC,1,046856
....................3,BEAVERBROU,0000065,2020/03/06,1.000,0.0000,0.0000,0.0000,0.0000,0.000000,0.0000,0.0000,PETITS-FRE,,,33200,,0000019049,,,TRUE,7UQCBUT43,1,******
....................4,BEAVERBROU,0000065,2020/03/06,1.000,0.0000,0.0000,0.0000,0.0000,0.000000,0.0000,0.0000,PETITS-FRE,,,33200,,0000019049,,,TRUE,7UQCBUT43,1,******
....................5,BEAVERBROU,0000065,2020/03/06,1.000,355.0000,17.7500,35.4113,355.0000,0.000000,0.0000,355.0000,PETITS-FRE,,,33500,,0000019049,,,TRUE,7UQCBUT43,1,******
,VAL-MAURIC,0000064,2020/03/09,0.000,967.5500,48.3775,96.5131,967.5500,0.000000,0.0000,967.5500,PETITS-FRE,,,33500,16000,0000019049,,,TRUE,R18V3RSZ0,1,046958
....................3,VAL-MAURIC,0000064,2020/03/09,1.000,0.0000,0.0000,0.0000,0.0000,0.000000,0.0000,0.0000,PETITS-FRE,,,33200,,0000019049,,,TRUE,R18V3RSZ0,1,046958
....................4,VAL-MAURIC,0000064,2020/03/09,1.000,0.0000,0.0000,0.0000,0.0000,0.000000,0.0000,0.0000,PETITS-FRE,,,33200,,0000019049,,,TRUE,R18V3RSZ0,1,046958
,INST-D-L--,0000067,2020/03/11,0.000,5120.0000,256.0000,510.7200,5120.0000,0.000000,0.0000,5120.0000,COOP-STE-T,,,33500,08000,0000019034,,,TRUE,RNY9FOU9O,1,046960
