Numéro d'activité,Description de l'activité (francais),Description de l'activité (anglais),Code interne,Numéro de fournisseur,Numéro de G/L Achat,Montant en com. fournisseur,Montant en B/O
00001,"Selon plans, devis et addendas Régis Côté",,,,,0.00,0.00
00002,et firme d'ingéniérie Pluritec,,,,,0.00,0.00
00050,Services gestion,,,,,0.00,0.00
00100,Administration,,,,,0.00,0.00
00101,Services architectes,,,,,0.00,0.00
00102,Services ingénieurs,,,,,0.00,0.00
00400,Conditions générales,,,,,0.00,0.00
00401,Cautionnement et assurances,,,,,0.00,0.00
00402,MOBILISATION,,,,33200,0.00,0.00
00403,COVID-19,,,,33200,0.00,0.00
00501,Allocation no. 1,,,,,0.00,0.00
00502,Allocation no. 2,,,,,0.00,0.00
00503,Allocation no. 3,,,,,0.00,0.00
00610,Inspection structurale,,,,,0.00,0.00
00650,Inspection étanchéité,,,,,0.00,0.00
01100,RÉSIDENTIEL,RESIDENTIAL,,,,0.00,0.00
01110,Construction neuve,New construction,,,,0.00,0.00
01115,Rénovation,Renovation,,,,0.00,0.00
01200,"COMMERCIAL, INDUSTRIEL, INSTITUTIONNEL","COMMERCIAL, INDUSTRIAL, INSTITUTIONAL",,,,0.00,0.00
01202,Construction neuve,New construction,,,,0.00,0.00
01250,Rénovation,Renovation,,,,0.00,0.00
01300,TRAVAUX DE GÉNIE CIVIL,ENGINEERING WORK,,,,0.00,0.00
01310,"Industrie lourde, complexe industriel","heavy industry, industrial complex",,,,0.00,0.00
01320,Usine de filtration et d'épuration des eaux,Filtration and water purification plant,,,,0.00,0.00
01330,Conduits souterrains,Underground ducts,,,,0.00,0.00
01340,Transport d'énergie - lignes aériennes,Energy transport - overhead cables,,,,0.00,0.00
01350,Métros et tunnels,Subways and tunnels,,,,0.00,0.00
01360,Oléoducs et pipe-lignes,Pipelines,,,,0.00,0.00
01370,Ouvrages ferroviaires,Railway works,,,,0.00,0.00
01380,Ouvrages hydro-électriques,Hydroelectric works,,,,0.00,0.00
01390,Ponts et viaducs,Bridges and overpass,,,,0.00,0.00
01400,Routes et travaux d'infrastructure,Roads and infrastructures,,,,0.00,0.00
01410,Travaux maritimes,Marine structures,,,,0.00,0.00
01420,Travaux sous-marins,Underwater structures,,,,0.00,0.00
01430,Déplacement de bâtiments,Building displacements,,,,0.00,0.00
01800,Nettoyage (conteneur),,,,,0.00,0.00
02000,TRAVAUX D'EMPLACEMENT,SITE CONSTRUCTION,,,,0.00,34046.26
02050,Matériaux et méthodes de base,Basic site materials and methods,,,,0.00,0.00
02055,Sols,Soils,,,,0.00,0.00
02060,Agrégats,Aggregates (granular matetials),,,,0.00,0.00
02065,Ciment et béton,Cement and conrete,,,33200,0.00,0.00
02070,Démolition sélective,Geosynthetic materials,,,,0.00,0.00
02080,Matériaux de services publics,Utility materials,,,,0.00,0.00
02090,Matériaux de joint,Joint materials,,,33200,0.00,0.00
02100,Restauration environnementale de l'emplacem.,Site remediation,,,,0.00,0.00
02110,Enlèvement et manutention de prod. dangereux,Removal and handling of hazardous materials,,,,0.00,0.00
02115,Enlèvement de réservoir souterrains,Underground storage tank removal,,,,0.00,0.00
02120,Transport hors de l'empl. et mise au rebut,Transport out of location and disposal,,,,0.00,0.00
02125,Manutention de barils,Handling of barrels,,,,0.00,0.00
02130,Décontamination de l'emplacement,Site decontamination,,,,0.00,0.00
02140,Construction de décharge et stockage,Dump and stocking construction,,,,0.00,0.00
02145,Système de traitement de l'eau souterrainne,Underground water treatement system,,,,0.00,0.00
02150,Processus de récupération de prod. dangereux,Recuperation process for dangerous prod.,,,,0.00,0.00
02160,Traitement physique,Physical treatment,,,,0.00,0.00
02170,Traitement chimique,Chemical treatment,,,,0.00,0.00
02180,Procédés thermiques,Thermal process,,,,0.00,0.00
02190,Procédés biologiques,Biological process,,,,0.00,0.00
02195,Restauration par stabilisation du sol,Restoration by soil stabilization,,,,0.00,0.00
02196,Décontamination et désamiantage,,,,,0.00,0.00
02200,Préparation de l'emplacement,Site preparation,,,,0.00,0.00
02210,Reconnaissance du sous-sol,Subsurface investigation,,,,0.00,0.00
02220,Travaux de démolition,Site demolition,,,,0.00,0.00
02225,Services géotechnique,,,,,0.00,0.00
02230,Déblaiement et déboisement de l'emplacement,Site clearing,,,,0.00,0.00
02240,Assèchement,Dewatering,,,,0.00,0.00
02250,Étaiement et reprise en sous-oeuvre,Shoring and underpinning,,,,0.00,0.00
02260,Étançonnement et protection d'excavation,Excavation support and protection,,,,0.00,0.00
02280,Ajustement du niveau du sol,Soil level ajustment,,,,0.00,0.00
02285,Reconstruction de petits ouvrages existants,Reconstruction of existing small jobs,,,,0.00,0.00
02290,Surveillance de l'emplacement,Site surveillance,,,,0.00,0.00
02300,Terrassement,EARTHWORK,,,33500,0.00,0.00
02310,Nivellement,Grading,,,33500,1.00,0.00
02315,Excavation et remplissage,Excavation and fill,,,33500,0.00,42493.28
02325,Dragage,Dredging,,,33500,0.00,0.00
02330,Talus,Embankment,,,33500,0.00,0.00
02335,Sous-fondation et assise de route,Sub-foundation and road foundation,,,33500,0.00,0.00
02340,Stabilisation du sol,Soil stabilization,,,33500,0.00,0.00
02360,Traitement du sol,Soil treatment,,,33500,0.00,0.00
02370,Contrôle de l'érosion et de la sédimentation,Erosion and sedimentation control,,,33500,0.00,0.00
02380,Protection contre l'affouillement,Protection against wash aways,,,33500,0.00,0.00
02390,Protection du littoral / struct. de mouillage,Shore protection / moorings structures,,,33500,0.00,0.00
02400,"Creusage de tunnel, forage et vérinage","Tunnelling, boring and jacking",,,33500,0.00,0.00
02410,Excavation de tunnel,Tunnel excavation,,,33500,0.00,0.00
02420,Systèmes de support initial de tunnel,Initial tunnel support system,,,33500,0.00,0.00
02425,Blindages de tunnel,Tunnel linings,,,33500,0.00,0.00
02430,Injection de tunnel au coulis,Tunnel grouting,,,33500,0.00,0.00
02440,Tunnels en tubes coulés et immergés,Submerged tubalar tunnel cast,,,33500,0.00,0.00
02441,Creusage de microtunnel,Mircotunneling,,,33500,0.00,0.00
02442,Tunnels en tranchée couverte,Covered trenches tunnels,,,33500,0.00,0.00
02443,Réparations de fuite dans un tunnel,Tunnel leak repairs,,,33500,0.00,0.00
02444,Construction de puits verticaux,Vertical well construction,,,33500,0.00,0.00
02445,Conduits de forage ou de vérinage,Boring or jacking conduits,,,33500,0.00,0.00
02450,Fondations et éléments portants,Foundation and load-bearing elements,,,33500,0.00,0.00
02455,Pieux foncés,Driven piles,,,33500,0.00,0.00
02465,Pieux forés,Bored piles,,,33500,0.00,0.00
02475,Caissons,Coffers,,,33500,0.00,0.00
02480,Murs de fondations,Foundation walls,,,33500,0.00,0.00
02490,Ancrages,Anchoring,,,,0.00,0.00
02495,Instrumentation et surveillance,Instrumentation and surveillance,,,33500,0.00,0.00
02500,Services publics,Utility services,,,,0.00,0.00
02510,Réseau de distribution d'eau,Water distribution network,,,33500,0.00,0.00
02520,Puits,Well,,,33500,0.00,0.00
02530,Système d'égout sanitaire,Sanitary sewer system,,,33500,0.00,0.00
02540,Systèmes de fosse septique,Septic tank systems,,,33500,0.00,0.00
02550,Canalisations de distribution d'énergie,Energy distribution pipes,,,33500,0.00,0.00
02570,Structures de distr. de matériaux de procédé,Distribution structures of process materials,,,33500,0.00,0.00
02580,Structures de réseau électrique et de comm.,Electrical network structures and comm.,,,33500,0.00,0.00
02590,Mise à la terre d'élément de l'emplacement,Grounding of location elements,,,33500,0.00,0.00
02600,Drainage et confinement,Draining and confinement,,,33500,0.00,0.00
02610,Ponceaux tubulaires,Tubular culvert,,,33500,0.00,0.00
02620,Drainage souterrain,Underground draining,,,33500,0.00,0.00
02630,Drainage pluvial,Draining rain water,,,33500,0.00,0.00
02640,Ponceaux et coinstruction usinés,Machined construction and culvert,,,33500,0.00,0.00
02660,Bassins et réservoirs,Basins and reservoirs,,,33500,0.00,0.00
02670,Marécages artificiels,Artificial marsh,,,33500,0.00,0.00
02700,"Couches de base, ballasts, revêtements","Basic layers, ballats, surfaces",,,33500,0.00,0.00
02720,Couches de bases non liées et ballasts,Non binding basic layers and ballasts,,,,0.00,0.00
02730,Couche de surface d'agrégats,Agglomerate surface layer,,,,0.00,0.00
02740,Revêtement de chaussée flexible,Flexible pavement surface,,,33500,0.00,0.00
02750,Revêtement de chaussée rigide,Rigid surface pavement,,,33500,0.00,0.00
02755,Accotement en béton de ciment,Cement and concrete shoulder,,,,0.00,0.00
02760,Accessoires de revêtement de chaussée,Surface and pavement accessories,,,,0.00,0.00
02770,Bordures et caniveaux,Borders and gutters,,,,0.00,0.00
02775,Trottoirs,Sidewalks,,,,0.00,0.00
02780,Pavés usinés,Machined pavement,,,,0.00,0.00
02785,Enduit de revêtement flex. et micro-surfaçage,Flexible surface coating and micro-surfacing,,,,0.00,0.00
02790,Surface d'athlétisme et de sport,Athletic and sport surface,,,,0.00,0.00
02795,Revêtement de chaussée poreux,Porous suface pavement,,,33500,0.00,0.00
02800,Aménagement ext. et accessoires d'aménagement,Exterior planning and planning accessories,,,,0.00,0.00
02810,Systèmes d'irrigation,Irrigation systems,,,,0.00,0.00
02815,Fontaines,Fountains,,,,0.00,0.00
02820,Clôtures et barrières,Fences and barriers,,,,0.00,0.00
02830,Murs de soutènement,Retaining wall,,,,0.00,0.00
02840,"Équipements d'allée, chaussée et stationnemen","Path, pavement and parking equipment",,,,0.00,0.00
02850,Ponts préfabriqués,Prefabricated bridges,,,,0.00,0.00
02860,Dispositifs d'écran,Screen device,,,,0.00,0.00
02870,Ameublement et accessoires d'emplacement,Site furniture and accessories,,,,0.00,0.00
02875,Abris de rue et d'emplacement,Street and site shelter,,,,0.00,0.00
02880,Structures et équipement de terrain de sport,Sports field equipment and structures,,,,0.00,0.00
02890,Signalisation et signaux de circ. routière,Signalling system and road signs,,,,0.00,0.00
02895,Bornes et monuments,Markers and monuments,,,,0.00,0.00
02900,Plantations,Plantations,,,,0.00,0.00
02905,"Plants, plantation et transplantation","Seedlings, plantation and transplantation",,,,0.00,0.00
02910,Préparation de la plantation,Plantation preparation,,,,0.00,0.00
02915,Transplantation d'arbres et d'arbustres,Transplantation of trees and shrubs,,,,0.00,0.00
02920,Pelouses et gazons,Lawns and grass,,,,0.00,0.00
02930,Plants d'extérieur,Exterior seedlings,,,,0.00,0.00
02935,Entretien des plants,Seedlings maintenance,,,,0.00,0.00
02945,Accessoires de plantation,Plantation accessories,,,,0.00,0.00
02950,Restauration et réhabilitation d'emplacement,Site restoration and rehabilitation,,,,0.00,0.00
02955,Restauration de canal. et d'él. souterrains,Channeling restoration and underground elem.,,,,0.00,0.00
02960,Récup. et surfaçage de revêtement flexible,Recuperation and flexible surfacing lining,,,,0.00,0.00
02965,Recycl. de revêtement bitumineux et flex.,Recyclable bituminous and flexible lining,,,,0.00,0.00
02975,Renforcement de revêtement flex. et bitum.,Reinforcement of flexible and bitum lining,,,,0.00,0.00
02980,Réhabilitation de revêtement rigide,Rehabilitation of rigid surface,,,,0.00,0.00
02990,Déplacement de structure,Moving of structures,,,,0.00,0.00
03000,BÉTON,CONCRETE,,,,10500.00,121205.35
03050,Matériaux et méth. de base relatifs au béton,Basic concrete methods and materials,,,,0.00,0.00
03100,Coffrages et accessoires à béton,Concrete form and accessories,,,,0.00,0.00
03110,Coffrages de béton structural coulé en place,Structural cast-in-place concrete formwork,,,33500,0.00,0.00
03120,Coffrages de béton architect. coulé en place,Archit. concrete formwork poured in place,,,33500,0.00,0.00
03130,Coffrages permanents,Permanent formworks,,,33500,0.00,0.00
03150,Accessoires à béton,Concrete accessories,,,,0.00,0.00
03200,Armatures à béton,Concrete Reinforcement,,,,0.00,0.00
03210,Acier d'armature,Reinforcing steel,,,33500,0.00,0.00
03220,Treillis soudé,Welded wire fabric,,,,0.00,0.00
03230,Tendons de mise en tension,Stressing tendons,,,,0.00,0.00
03240,Renforcement de fibres,Fibre reinforcement,,,,0.00,0.00
03250,Post-tension,post-tensioning,,,,0.00,0.00
03300,Béton coulé en place,Cast-in-place concrete,,,,0.00,0.00
03310,Béton structural,Structural concrete,,,,0.00,0.00
03330,Béton architectural,Architectural concrete,,,,0.00,0.00
03340,Béton léger,Low density concrete,,,,0.00,0.00
03350,Finissage de béton,Concrete  finishing,,,,0.00,0.00
03360,Finitions de béton,Concrete finishes,,,,0.00,0.00
