Numéro de projet,Numéro de client (facturé),Numéro de client (livré à),Numéro du produit,Devise étrangère,Prix,Prix coûtant régulier ou prix de détail sugg.,Prix détail (T) / coûtant (F),Quantité à recevoir,Escompte - Pourcentage,Sous-total,Code de taxe provinciale,Code de taxe fédérale,Escompte - Montant fixe,Code de produit (fournisseur),Numéro séquentiel de la commande client,Numéro séquentiel de commande,Code d'activité,Description,Numéro de la ligne,Quantité reçue,Poste d'achat,Quantité commandée,Code identification unique,Numéro séquentiel,Numéro du fournisseur,Commande en retard (T/F),"Type de facturation (1=n/a, 2=cpte ouv., 3=réq.)",Activité d'attribution
0000020002,CIUSSS-ADM,,,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,1,1,0.0000,,,000000011,13910,Matér. et méth. de base de protect. incendie,001,2284.0000,33500,2284.0000,SKYC0CF44,0000008,PERI-TECH-,FALSE,3,
0000020002,CIUSSS-ADM,,.................0000,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,0,0,0.0000,,,000000011,,TRAVAUX DE PROTECTION INCENDIE,002,0.0000,,0.0000,Y6RIAZ10W,0000008,PERI-TECH-,FALSE,3,
0000020002,CIUSSS-ADM,,,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,1,1,0.0000,,,000000012,09910,Peintures,001,2564.0000,33500,2564.0000,7YNFRK28R,0000009,PEINT-DUPO,FALSE,3,
0000020002,CIUSSS-ADM,,,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,1,1,0.0000,,,000000012,09910,Peintures,002,-295.0000,33500,-295.0000,MH2YREE06,0000009,PEINT-DUPO,FALSE,3,
0000020002,CIUSSS-ADM,,,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,1,1,0.0000,,,000000012,09910,Peintures,003,365.0000,33500,365.0000,8DWWFRCTN,0000009,PEINT-DUPO,FALSE,3,
0000020002,CIUSSS-ADM,,,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,1,1,0.0000,,,000000014,16000,ÉLECTRICITÉ,001,7500.0000,33500,7500.0000,PIIQ3BLCI,0000011,VAL-MAURIC,FALSE,3,
0000020002,CIUSSS-ADM,,,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,1,1,0.0000,,,000000016,08000,PORTES ET FENETRES,001,2192.0000,33200,2192.0000,W6Z6MTBZC,0000013,QUINC-PORT,FALSE,3,
0000020002,CIUSSS-ADM,,,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,1,1,0.0000,,,000000019,07000,ISOLATION THERMIQUE ET ÉTANCHÉITÉ,001,182.4500,33500,182.4500,IMOQ29WEX,0000016,ISOL-FLAMC,FALSE,3,
0000020003,CIUSSS-ADM,,,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,1,1,0.0000,,,000000021,10000,PRODUITS SPÉCIAUX,001,43800.0000,33200,43800.0000,JJ7LK8PNM,0000018,ARCHIMED..,FALSE,3,
0000020003,CIUSSS-ADM,,.................0001,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,0,0,0.0000,,,000000021,,ISOLATION,002,0.0000,,0.0000,481F22N8F,0000018,ARCHIMED..,FALSE,3,
0000020003,CIUSSS-ADM,,,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,1,1,0.0000,,,000000022,15401,Plomberie,001,53680.0000,33500,53680.0000,JYRFV4OHK,0000019,CAP-ISOLAT,FALSE,3,
0000020003,CIUSSS-ADM,,,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,1,1,0.0000,,,000000023,07330,Revêtements de toit,001,194500.0000,33500,194500.0000,U0RGSKSN9,0000020,ROGER-BELL,FALSE,3,
0000020003,CIUSSS-ADM,,,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,1,1,0.0000,,,000000023,07330,Revêtements de toit,002,3000.0000,33500,3000.0000,EMJBFYVG7,0000020,ROGER-BELL,FALSE,3,
0000020007,,,,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,1,1,0.0000,,,000000024,15001,Ventilation,001,2695.0000,33500,2695.0000,Q2LSKKQ8B,0000021,MULTI-ENER,FALSE,3,
0000020007,,,,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,1,1,0.0000,,,000000024,15001,Ventilation,002,629.0500,33500,629.0500,Q2PG4CUO0,0000021,MULTI-ENER,FALSE,3,
0000020007,,,,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,1,1,0.0000,,,000000025,06400,Ébénisterie,001,1823.0000,33500,1823.0000,SCCEE4RZY,0000022,EBEN-C-TOU,FALSE,3,
0000020007,,,,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,1,1,0.0000,,,000000026,08710,Quincaillerie de porte,001,2645.0000,33500,2645.0000,UBJIH2QV5,0000023,PORTOMATIC,FALSE,3,
0000020007,,,,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,1,1,0.0000,,,000000027,09310,Carreaux de céramique,001,2497.8300,33500,2497.8300,S6DOD8UZG,0000024,REINE-COUV,FALSE,3,
0000020007,,,,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,1,1,0.0000,,,000000028,09651,REVÊTEMENT EXTÉRIEUR,001,318.4000,33200,318.4000,TFAAJ0UG1,0000025,ENS-PROF--,FALSE,3,
0000020007,,,.................0001,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,0,0,0.0000,,,000000029,,ANNULATION 2020-03-05,001,0.0000,,0.0000,FH7IHXYWY,0000026,GHISLAIN-C,FALSE,3,
0000020007,,,,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,1,1,0.0000,,,000000030,10810,Accessoires de toilette,001,738.0000,33200,738.0000,VW08JWCRL,0000027,GROUPE-SAN,FALSE,3,
0000020007,,,,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,1,1,0.0000,,,000000031,10810,Accessoires de toilette,001,560.0000,33200,560.0000,DCFIHIXLG,0000028,GROUPE-SAN,FALSE,3,
0000020007,,,,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,1,1,0.0000,,,000000031,10810,transport,002,178.0000,33200,178.0000,AKTVB7A2H,0000028,GROUPE-SAN,FALSE,3,
0000020007,,,,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,1,1,0.0000,,,000000032,16000,ÉLECTRICITÉ,001,6800.0000,33500,6800.0000,K7KEGX6BR,0000029,VAL-MAURIC,FALSE,3,
0000020007,,,,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,1,1,0.0000,,,000000033,13910,Matér. et méth. de base de protect. incendie,001,2690.0000,33500,2690.0000,O02TF1HH8,0000030,PERI-TECH-,FALSE,3,
0000020007,,,,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,1,1,0.0000,,,000000034,15401,Plomberie,001,8950.0000,33500,8950.0000,RAT44K6JF,0000031,PLOMB-MTCA,FALSE,3,
0000020007,,,,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,1,1,0.0000,,,000000035,08000,PORTES ET FENETRES,001,1028.0000,33200,1028.0000,KPWK76WZV,0000032,F-DAIGLE--,FALSE,3,
0000020003,CIUSSS-ADM,,,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,1,1,0.0000,,,000000036,13800,Commande et automation de bâtiment,001,87500.0000,33500,87500.0000,Z7GM59MCU,0000033,INTEGRAIR-,FALSE,3,
0000020003,CIUSSS-ADM,,,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,1,1,0.0000,,,000000037,14280,Équipement et commandes d'ascenseur,001,47000.7000,33500,47000.7000,14TLZ2KCA,0000034,ASCENSEURC,FALSE,3,
0000020003,CIUSSS-ADM,,,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,1,1,0.0000,,,000000038,04000,MAÇONNERIE,001,24795.5000,33500,24795.5000,65IDRM5GE,0000035,MAC-ELC---,FALSE,3,
0000020003,CIUSSS-ADM,,,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,1,1,0.0000,,,000000039,15700,"Éq. de chauffage, ventilation, et cond. d'air",001,279197.9100,33500,279197.9100,6DFFJ6DBI,0000036,CHARTRAY-R,FALSE,3,
0000020003,CIUSSS-ADM,,,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,1,1,0.0000,,,000000040,12700,Mobilier de systèmes,001,376333.0000,33500,376333.0000,9RJHBMV9X,0000037,SYST-VILLE,FALSE,3,
0000020003,CIUSSS-ADM,,,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,1,1,0.0000,,,000000041,09910,Peintures,001,28666.0000,33500,28666.0000,I6CPQCJ7K,0000038,SYST-VILLE,FALSE,3,
0000020003,CIUSSS-ADM,,,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,1,1,0.0000,,,000000042,16000,ÉLECTRICITÉ,001,494166.0000,33500,494166.0000,27OGMIV2L,0000039,ASP-CONTRO,FALSE,3,
0000020003,CIUSSS-ADM,,,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,1,1,0.0000,,,000000043,05080,Revêtements de métal appliqué en usine,001,102320.0000,33500,102320.0000,50UKI1Z2H,0000040,QUINOX----,FALSE,3,
0000020003,CIUSSS-ADM,,,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,1,1,0.0000,,,000000044,15401,Plomberie,001,115500.0000,33500,115500.0000,G45YWYPHH,0000041,MULTI-ENER,FALSE,3,
0000020003,CIUSSS-ADM,,,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,1,1,0.0000,,,000000045,05120,Acier de construction,001,227650.0000,33500,227650.0000,CJURNS5FG,0000042,NICO-METAL,FALSE,3,
0000020003,CIUSSS-ADM,,,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,1,1,0.0000,,,000000046,05120,Acier de construction,001,22350.0000,33500,22350.0000,5J71VB79J,0000043,NICO-METAL,FALSE,3,
0000020003,CIUSSS-ADM,,,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,1,1,0.0000,,,000000047,09900,Peintures et enduits,001,42000.0000,33500,42000.0000,BMS8JXGD4,0000044,EUGENE-CLO,FALSE,3,
0000020003,CIUSSS-ADM,,,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,1,1,0.0000,,,000000049,05500,Métaux ouvrés,001,15100.0000,33200,15100.0000,EEK3ODTH3,0000046,ARMATECH-I,FALSE,3,
0000020003,CIUSSS-ADM,,,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,1,1,0.0000,,,000000049,05500,Métaux ouvrés,002,-900.0000,33200,-900.0000,95K4GU1Q0,0000046,ARMATECH-I,FALSE,3,
0000020002,CIUSSS-ADM,,,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,1,1,0.0000,,,000000050,13930,Réseau de gicleurs sous eau,001,1.0000,33500,1.0000,1UIDZVI4P,0000047,PERI-TECH-,FALSE,3,
0000020006,CONSEIL-MA,,.................0001,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,0,0,0.0000,,,000000052,,117.00$ / NUIT,001,0.0000,,0.0000,T7ODS79VV,0000049,AUB-MANAWA,FALSE,3,
0000020006,CONSEIL-MA,,,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,1,1,0.0000,,,000000052,00000,Général,002,1.0000,33200,1.0000,7A4KQAHA0,0000049,AUB-MANAWA,FALSE,3,
0000019031,SOC-DEV-SH,,.................0001,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,0,0,0.0000,,,000000053,,SECURISATION ELECTRIQUE - MISE HORS TENSION,001,0.0000,,0.0000,QISTCPXVH,0000050,HYDROQUEBE,FALSE,3,
0000019031,SOC-DEV-SH,,....................3,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,0,0,0.0000,,,000000053,,SELON PLANS  ET DEVIS POUR CONSTRUCTION,002,1.0000,33200,1.0000,05ZISIMMS,0000050,HYDROQUEBE,FALSE,3,00400
0000019031,SOC-DEV-SH,,,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,0,0,0.0000,,,000000053,00000,Général,003,750.0000,33200,750.0000,NXQ2BNA6F,0000050,HYDROQUEBE,FALSE,3,
0000019031,SOC-DEV-SH,,,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,0,0,0.0000,,,000000053,00000,Général,004,500.0000,33200,500.0000,T33JO2WLI,0000050,HYDROQUEBE,FALSE,3,
0000019030,CIUSSS-ADM,,....................3,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,0,0,0.0000,,,000000056,,SELON PLANS  ET DEVIS POUR CONSTRUCTION,001,1.0000,33200,1.0000,OO1512NDX,0000053,VENT-CJM--,FALSE,3,
0000019030,CIUSSS-ADM,,,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,1,1,0.0000,,,000000056,15001,Ventilation,002,165.0000,33500,165.0000,PU3V40E45,0000053,VENT-CJM--,FALSE,3,
0000019030,CIUSSS-ADM,,.................0001,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,0,0,0.0000,,,000000056,,TRAVAUX SELON DIRECTIVE M-05,003,0.0000,,0.0000,K7V4AQ2TS,0000053,VENT-CJM--,FALSE,3,
0000019030,CIUSSS-ADM,,....................3,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,0,0,0.0000,,,000000057,,SELON PLANS  ET DEVIS POUR CONSTRUCTION,001,1.0000,33200,1.0000,XHHK9RS9H,0000054,PERI-TECH-,FALSE,3,
0000019030,CIUSSS-ADM,,,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,1,1,0.0000,,,000000057,13930,Réseau de gicleurs sous eau,002,225.0000,33500,225.0000,OAQSHUX5D,0000054,PERI-TECH-,FALSE,3,
0000019030,CIUSSS-ADM,,.................0001,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,0,0,0.0000,,,000000057,,RALLONGEMENT DE DEUX GICLEURS  M-06,003,0.0000,,0.0000,E051OYZQ7,0000054,PERI-TECH-,FALSE,3,
0000019030,CIUSSS-ADM,,....................3,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,0,0,0.0000,,,000000058,,SELON PLANS  ET DEVIS POUR CONSTRUCTION,001,1.0000,33200,1.0000,OVATKVWKI,0000055,VENT-CJM--,FALSE,3,
0000019030,CIUSSS-ADM,,,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,1,1,0.0000,,,000000058,15001,Ventilation,002,319.0000,33500,319.0000,CI2QAOVRJ,0000055,VENT-CJM--,FALSE,3,
0000019030,CIUSSS-ADM,,.................0001,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,0,0,0.0000,,,000000058,,INSTALLATION D'UN VOLET  - M-04,003,0.0000,,0.0000,HEPEONMWG,0000055,VENT-CJM--,FALSE,3,
0000019030,CIUSSS-ADM,,....................3,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,0,0,0.0000,,,000000060,,SELON PLANS  ET DEVIS POUR CONSTRUCTION,001,1.0000,33200,1.0000,6PIWR6B3F,0000057,REGULVAR--,FALSE,3,
0000019030,CIUSSS-ADM,,,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,1,1,0.0000,,,000000060,13400,Instrumentation de mesure et de contrôle,002,963.4000,33500,963.4000,YIBZU03M4,0000057,REGULVAR--,FALSE,3,
0000019030,CIUSSS-ADM,,.................0001,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,0,0,0.0000,,,000000060,,SELON DIRECTIVE M-04,003,0.0000,,0.0000,CU5N5ZQCV,0000057,REGULVAR--,FALSE,3,
0000019032,PARCS-CANA,,....................3,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,0,0,0.0000,,,000000061,,SELON PLANS  ET DEVIS POUR CONSTRUCTION,001,1.0000,33200,1.0000,GMV6ELARO,0000058,VAL-MAURIC,FALSE,3,
0000019032,PARCS-CANA,,,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,1,1,0.0000,,,000000061,16000,ÉLECTRICITÉ,002,1167.0000,33500,1167.0000,WCKS3SBCN,0000058,VAL-MAURIC,FALSE,3,
0000019032,PARCS-CANA,,.................0001,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,0,0,0.0000,,,000000061,,SELON DIRECTIVE E-07,003,0.0000,,0.0000,70W466IH6,0000058,VAL-MAURIC,FALSE,3,
0000020005,SIX-PINTS-,,....................3,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,0,0,0.0000,,,000000063,,"SELON PLANS, DEVIS ET ADDENDA POUR CONSTRUCTION",001,1.0000,33200,1.0000,6MJU3FJS2,0000060,COOPPLUS--,FALSE,3,
0000020005,SIX-PINTS-,,....................4,,0.0000,0.0000,FALSE,0.0000,0.000000,0.0000,0,0,0.0000,,,000000063,,AVEC LA FIRME D'INGENIERIE ET ARCHITECTES,002,1.0000,33200,1.0000,YEXA9LV9I,0000060,COOPPLUS--,FALSE,3,
