Numéro de projet,Code d'activité,Pourcentage de profit,Dépense à venir,Facturé à date
0000003001,07400,450.05,0.00,0.00
0000003002,07400,264.03,0.00,0.00
0000003003,01800,347.17,0.00,0.00
0000003005,00000,0.00,0.00,75404.75
0000003005,02315,1772.94,0.00,0.00
0000003006,01800,10.86,0.00,0.00
0000003007,00100,0.00,0.00,15000.00
0000003007,00401,0.00,0.00,16601.80
0000003007,02315,0.00,0.00,145000.00
0000003007,02450,0.00,0.00,72000.00
0000003007,05120,0.00,0.00,89000.00
0000003007,06100,0.00,0.00,54000.00
0000003007,06400,0.00,0.00,19000.00
0000003007,07460,0.00,0.00,66500.00
0000003007,07520,0.00,0.00,63800.00
0000003007,08100,0.00,0.00,45000.00
0000003007,08520,0.00,0.00,53000.00
0000003007,09200,0.00,0.00,50000.00
0000003007,09600,0.00,0.00,32500.00
0000003007,09900,0.00,0.00,9000.00
0000003007,10350,0.00,0.00,4755.00
0000003007,10650,0.00,0.00,8500.00
0000003007,15001,0.00,0.00,163200.00
0000003007,15401,0.00,0.00,23500.00
0000003007,16000,0.00,0.00,92100.00
0000003007,25001,0.00,0.00,1026.00
0000003007,25002,0.00,0.00,806.20
0000003007,25003,0.00,0.00,3396.60
0000003007,25004,0.00,0.00,106.92
0000003007,25005,0.00,0.00,2548.80
0000003007,25006,0.00,0.00,1095.60
0000003007,25007,0.00,0.00,866.60
0000003007,25008,0.00,0.00,248.40
0000003007,25009,0.00,0.00,389.88
0000003007,25010,0.00,0.00,1090.80
0000003007,25011,0.00,0.00,-9568.00
0000003007,25012,0.00,0.00,2526.81
0000003007,25013,0.00,0.00,2017.99
0000003007,25014,0.00,0.00,126.48
0000003007,25016,0.00,0.00,-4698.44
0000003007,25017,0.00,0.00,603.20
0000003007,25018,0.00,0.00,815.40
0000003007,99999,0.00,0.00,5500.00
0000003010,00000,0.00,0.00,3428.00
0000003011,00000,0.00,0.00,280632.86
0000003011,06100,0.00,0.00,-481.84
0000003012,00000,0.00,0.00,5129.32
