Numéro de G/L,Numéro du projet,Montant prévisionnel,Code d'activité
33200,0000003001,4500.00,07400
34100,0000003001,5954.50,06101
33200,0000003002,1318.00,07400
33500,0000003002,2750.00,15400
34100,0000003002,1500.00,06101
33200,0000003003,800.00,01800
33200,0000003003,500.00,02455
33200,0000003003,7072.59,06100
33200,0000003003,1500.00,07300
33200,0000003003,1500.00,07400
33200,0000003003,1000.00,08200
33200,0000003003,1000.00,08500
33200,0000003003,1500.00,09250
33500,0000003003,2000.00,07200
33500,0000003003,3500.00,09300
33500,0000003003,200.00,09500
33500,0000003003,3000.00,09650
33500,0000003003,1500.00,15400
33500,0000003003,6000.00,15600
33500,0000003003,5000.00,16000
34100,0000003003,10000.00,06101
33200,0000003005,1200.00,05500
33200,0000003005,2300.00,06100
33200,0000003005,8238.00,08100
33500,0000003005,4000.00,02315
33500,0000003005,18000.00,03100
33500,0000003005,4127.00,03200
33500,0000003005,7000.00,03300
33500,0000003005,2000.00,04000
34100,0000003005,4360.00,06101
33200,0000003006,50.00,01800
33200,0000003006,300.00,08100
33200,0000003006,70.00,09250
33500,0000003006,150.00,09650
33500,0000003006,200.00,09900
33500,0000003006,200.00,16000
34100,0000003006,1000.00,06101
33500,0000003007,15000.00,00100
33500,0000003007,16601.80,00401
33500,0000003007,145000.00,02315
33500,0000003007,72000.00,02450
33500,0000003007,89000.00,05120
33500,0000003007,54000.00,06100
33500,0000003007,19000.00,06400
33500,0000003007,66500.00,07460
33500,0000003007,63800.00,07520
33500,0000003007,45000.00,08100
33500,0000003007,53000.00,08520
33500,0000003007,50000.00,09200
33500,0000003007,32500.00,09600
33500,0000003007,9000.00,09900
33500,0000003007,4755.00,10350
33500,0000003007,8500.00,10650
33500,0000003007,163200.00,15001
33500,0000003007,23500.00,15401
33500,0000003007,92100.00,16000
33500,0000003007,1026.00,25001
33500,0000003007,806.20,25002
33500,0000003007,3396.60,25003
33500,0000003007,106.92,25004
33500,0000003007,2548.80,25005
33500,0000003007,1095.60,25006
33500,0000003007,866.60,25007
33500,0000003007,248.40,25008
33500,0000003007,389.88,25009
33500,0000003007,1090.80,25010
33500,0000003007,-9568.00,25011
33500,0000003007,2526.81,25012
33500,0000003007,2017.99,25013
33500,0000003007,126.48,25014
33500,0000003007,-4698.44,25016
33500,0000003007,603.20,25017
33500,0000003007,815.40,25018
33500,0000003007,5500.00,99999
33200,0000003016,150.00,02120
33200,0000003016,2750.00,03300
33200,0000003016,20270.00,06100
33200,0000003016,4000.00,06170
33500,0000003016,850.00,02315
33500,0000003016,2700.00,03100
33500,0000003016,650.00,03200
33500,0000003016,1080.00,03350
34100,0000003016,18600.00,06101
33500,0000003018,4672.00,07400
33200,0000003020,18000.00,00400
33200,0000003020,2500.00,00401
