Client facturé - Numéro du client,Client facturé - Nom,Client facturé - Adresse 1,Client facturé - Ville,Client facturé - Code postal,Client facturé - Téléphone,Client livré à - Numéro du client,Client livré à - Nom,Client livré à - Adresse 1,Client livré à - Ville,Client livré à - Code postal,Client livré à - Téléphone,Numéro de taxe fédérale,Numéro de taxe provinciale,Numéro du vendeur,Mode de transport,Remarque,Sous-total sans taxe,Taxe fédérale,Taxe provinciale,Sous-total avec taxe ajoutée,Solde de la facture,Total à payer (avec taxes et escompte),Sous-total avec escompte,Numéro de la facture,Date de la facture,Note de crédit (T/F),Montant total d'escompte,Numéro de commande,Numéro de commande client,Montant fixe d'escompte général,Pourcentage d'escompte général,Niveau de taxe provinciale,Taux 1 de taxe provinciale,Numéro de G/L taxe provinciale taux 1,Montant d'encaissement comptant,Date d'encaissement comptant,Montant d'encaissement par carte,Date d'encaissement par carte,Nom de la carte de crédit,Numéro de carte,Date d'expiration de la carte,Numéro d'autorisation de la carte,Montant d'encaissement autre,Date d'encaissement autre,Mode de paiement autre,Détails supplémentaires enc. autre,Taux 1 de taxe fédérale,Taux 2 de taxe fédérale,Montant d'encaissement crédit flottant,Date d'encaissement crédit flottant,Montant de taxe fédérale incluse,Montant de taxe provinciale incluse,Facture imprimée (T/F),Taxe fédérale avant provinciale (O/N),Taxe fédérale après provinciale (O/N),Taxe provinciale après escompte (O/N),Montant fixe de taxe fédérale,Numéro de G/L taxe provinciale taux 2,Taux 2 de taxe provinciale,Montant de taxe provinciale taux 2,Montant de taxe provinciale incluse taux 2,Pourcentage de retenue,Taxe provinciale sur retenues taux 1,Taxe provinciale sur retenues taux 2,Taxe fédérale sur retenues,Numéro de projet,Montant de retenue sans taxe,Montant total de la retenue,Code d'identification,Montant de transport,Numéro de G/L transport,Date de vente ou d'échéance,Code de taxe prov. pour transport (0-2),Code de taxe féd. pour transport (0-3),Taxe prov. incluse pour transport (T/F),Taxe féd. incluse pour transport (T/F),Remboursement taxe fédérale,Remboursement taxe provinciale niveau 1,Remboursement taxe provinciale niveau 2,Montant de dépôt,Station,No du cpte ouvert original,Conditions de paiement,Devise étrangère,Numéro de référence EDI,Encaissements par DPA (T/F),Montant encaissé par DPA,Client facturé - Adresse 2,Client facturé - Code de province,Client facturé - Code de pays,Client livré à - Adresse 2,Client livré à - Code de province,Client livré à - Code de pays,Description autres frais,Numéro de grand livre autres frais,Pourcentage autres frais,Code taxe provinciale,Code taxe fédérale,Taxe incluse provinciale,Taxe incluse fédérale,Montant autres frais,Client facturé - Description autre province,Client livré à - Description autre province,Montant d'encaissement par chèque,Montant d'encaissement par carte de débit,Numéro de chèque du client,Date d'encaissement par chèque,Date d'encaissement par carte de débit,Montant de l'arrondissement,Usage interne,Usage interne,Usage interne,FFDEJA,FFGL1,FFGL2,FFGL3,FFGL4,FFDEBGL,FFCHQGL,HASDOC,FFACTID,HASCOLI,CRYPTED
SOC-IMMOBI,SOCIETE IMMOBILIERE DU QUEBEC,"100, rue Laviolette",Trois-Rivières (Québec),G9A 5S9,,,M E M E,,,,,tps,tvq,,,,81352.32,0.00,0.00,81352.32,81352.32,81352.32,81352.32,001166,0008/12/31,FALSE,0.00,,,0.00,0.0000,1,0.075000,21360,0.00,,0.00,,,,,,0.00,,,,0.0500,0.0000,0.00,,0.00,0.00,FALSE,O,N,O,0.0000,,0.000000,0.00,0.00,0.0000,0.00,0.00,0.00,0000008037,0.00,0.00,,0.00,31900,0008/12/31,0,0,FALSE,FALSE,0.00,0.00,0.00,0.00,CLIENT-XIZVCM18,,,,,FALSE,0.00,,QC,CAN,,,,,,0.0000,0,0,FALSE,FALSE,0.00,,,0.00,0.00,,,,0.00,2024-01-08 14:52:16.000,,0,0,,,,,,,FALSE,,FALSE,AVANTAGE
SOC-IMMOBI,SOCIETE IMMOBILIERE DU QUEBEC,"100, rue Laviolette",Trois-Rivières (Québec),G9A 5S9,,,M E M E,,,,,tps,tvq,,,,81352.32,0.00,0.00,81352.32,81352.32,81352.32,81352.32,001179,0008/12/31,TRUE,0.00,,,0.00,0.0000,1,0.075000,21360,0.00,,0.00,,,,,,0.00,,,,0.0500,0.0000,0.00,,0.00,0.00,TRUE,O,N,O,0.0000,,0.000000,0.00,0.00,0.0000,0.00,0.00,0.00,0000008037,0.00,0.00,,0.00,31900,0008/12/31,0,0,FALSE,FALSE,0.00,0.00,0.00,0.00,CLIENT-XIZVCM18,,,,,FALSE,0.00,,QC,CAN,,,,,,0.0000,0,0,FALSE,FALSE,0.00,,,0.00,0.00,,,,0.00,2024-01-08 14:52:16.000,,0,0,,,,,,,FALSE,,FALSE,AVANTAGE
CIUSSS-ADM,CIUSSS MCQ,"1455, boul. du Carmel  C.P. 11",Trois-Rivières,G8Z 3R7,819-378-5590,,M E M E,,,,,,,,,,112313.38,5615.67,11203.26,129132.31,129132.31,129132.31,112313.38,004926,0222/08/31,FALSE,0.00,,,0.00,0.0000,1,0.099750,21360,0.00,,0.00,,,,,,0.00,,,,0.0500,0.0000,0.00,,0.00,0.00,FALSE,N,N,O,0.0000,,0.000000,0.00,0.00,0.0000,0.00,0.00,0.00,0000021022,0.00,0.00,,0.00,31900,0222/08/31,1,1,FALSE,FALSE,0.00,0.00,0.00,0.00,CRC-022,,,,,FALSE,0.00,,QC,CAN,,,,,,0.0000,0,0,FALSE,FALSE,0.00,,,0.00,0.00,,,,0.00,2024-01-08 14:52:23.000,,0,3,,,,,,,FALSE,,FALSE,AVANTAGE
CIUSSS-ADM,CIUSSS MCQ,"1455, boul. du Carmel  C.P. 11",Trois-Rivières,G8Z 3R7,819-378-5590,,M E M E,,,,,,,,,,112313.38,5615.67,11203.26,129132.31,129132.31,129132.31,112313.38,004944,0222/08/31,TRUE,0.00,,,0.00,0.0000,1,0.099750,21360,0.00,,0.00,,,,,,0.00,,,,0.0500,0.0000,0.00,,0.00,0.00,FALSE,N,N,O,0.0000,,0.000000,0.00,0.00,0.0000,0.00,0.00,0.00,0000021022,0.00,0.00,,0.00,31900,0222/08/31,1,1,FALSE,FALSE,0.00,0.00,0.00,0.00,CRC-022,,,,,FALSE,0.00,,QC,CAN,,,,,,0.0000,0,0,FALSE,FALSE,0.00,,,0.00,0.00,,,,0.00,2024-01-08 14:52:23.000,,0,0,,,,,,,FALSE,EC1OE9WOW,FALSE,AVANTAGE
COMM-SCOL.,COMMISSION SCOLAIRE DE L'ENERGIE,"2072, rue Gignac",Shawinigan (Québec),G9N 6V7,,,M E M E,,,,,,,,,,300.00,21.00,24.08,345.08,345.08,345.08,300.00,000300,2003/01/01,FALSE,0.00,,,0.00,0.0000,1,0.075000,21360,0.00,,0.00,,,,,,0.00,,,,0.0700,0.0000,0.00,,0.00,0.00,TRUE,O,N,O,0.0000,,0.000000,0.00,0.00,0.0000,0.00,0.00,0.00,,0.00,0.00,,0.00,31900,2003/01/01,1,1,FALSE,FALSE,0.00,0.00,0.00,0.00,CLIENT-XIZVCM18,,,,,FALSE,0.00,,,,,,,,,0.0000,0,0,FALSE,FALSE,0.00,,,0.00,0.00,,,,0.00,2024-01-08 14:52:15.000,,0,0,,,,,,,FALSE,,FALSE,AVANTAGE
COMM-SCOL.,COMMISSION SCOLAIRE DE L'ENERGIE,"2072, rue Gignac",Shawinigan (Québec),G9N 6V7,,,M E M E,,,,,,,,,,300.00,21.00,24.08,345.08,345.08,345.08,300.00,000303,2003/02/01,FALSE,0.00,,,0.00,0.0000,1,0.075000,21360,0.00,,0.00,,,,,,0.00,,,,0.0700,0.0000,0.00,,0.00,0.00,TRUE,O,N,O,0.0000,,0.000000,0.00,0.00,0.0000,0.00,0.00,0.00,,0.00,0.00,,0.00,31900,2003/02/01,1,1,FALSE,FALSE,0.00,0.00,0.00,0.00,CLIENT-XIZVCM18,,,,,FALSE,0.00,,,,,,,,,0.0000,0,0,FALSE,FALSE,0.00,,,0.00,0.00,,,,0.00,2024-01-08 14:52:15.000,,0,0,,,,,,,FALSE,,FALSE,AVANTAGE
SOC-IMMOBI,SOCIETE IMMOBILIERE DU QUEBEC,"100, rue Laviolette",Trois-Rivières (Québec),G9A 5S9,,,M E M E,,,,,tps,tvq,,,,676.00,0.00,0.00,676.00,676.00,676.00,676.00,000301,2003/02/12,FALSE,0.00,,,0.00,0.0000,1,0.075000,21360,0.00,,0.00,,,,,,0.00,,,,0.0700,0.0000,0.00,,0.00,0.00,TRUE,O,N,O,0.0000,,0.000000,0.00,0.00,0.0000,0.00,0.00,0.00,,0.00,0.00,,0.00,31900,2003/02/12,0,0,FALSE,FALSE,0.00,0.00,0.00,0.00,CLIENT-XIZVCM18,,,,,FALSE,0.00,,,,,,,,,0.0000,0,0,FALSE,FALSE,0.00,,,0.00,0.00,,,,0.00,2024-01-08 14:52:15.000,,0,0,,,,,,,FALSE,,FALSE,AVANTAGE
GERARD-CRE,GERARD CRETE & FILS INC.,"380, Route 159",Prouxville (Québec),G0X 2B0,,,M E M E,,,,,,,,,,750.00,52.50,60.19,862.69,862.69,862.69,750.00,000302,2003/02/12,FALSE,0.00,,,0.00,0.0000,1,0.075000,21360,0.00,,0.00,,,,,,0.00,,,,0.0700,0.0000,0.00,,0.00,0.00,TRUE,O,N,O,0.0000,,0.000000,0.00,0.00,0.0000,0.00,0.00,0.00,,0.00,0.00,,0.00,31900,2003/02/12,1,1,FALSE,FALSE,0.00,0.00,0.00,0.00,CLIENT-XIZVCM18,,,,,FALSE,0.00,,,,,,,,,0.0000,0,0,FALSE,FALSE,0.00,,,0.00,0.00,,,,0.00,2024-01-08 14:52:15.000,,0,0,,,,,,,FALSE,,FALSE,AVANTAGE
COMM-SCOL.,COMMISSION SCOLAIRE DE L'ENERGIE,"2072, rue Gignac",Shawinigan (Québec),G9N 6V7,,,M E M E,,,,,,,,,,300.00,21.00,24.08,345.08,345.08,345.08,300.00,000306,2003/03/01,FALSE,0.00,,,0.00,0.0000,1,0.075000,21360,0.00,,0.00,,,,,,0.00,,,,0.0700,0.0000,0.00,,0.00,0.00,TRUE,O,N,O,0.0000,,0.000000,0.00,0.00,0.0000,0.00,0.00,0.00,,0.00,0.00,,0.00,31900,2003/03/01,1,1,FALSE,FALSE,0.00,0.00,0.00,0.00,CLIENT-XIZVCM18,,,,,FALSE,0.00,,,,,,,,,0.0000,0,0,FALSE,FALSE,0.00,,,0.00,0.00,,,,0.00,2024-01-08 14:52:15.000,,0,0,,,,,,,FALSE,,FALSE,AVANTAGE
SEPAQ-----,SEPAQ,"801, chemin St-Louis, bureau 180",Québec (Québec),G1S 1C1,,,M E M E,,,,,,,,,,6400.00,448.00,513.60,7361.60,7361.60,7361.60,6400.00,000304,2003/03/12,FALSE,0.00,,,0.00,0.0000,1,0.075000,21360,0.00,,0.00,,,,,,0.00,,,,0.0700,0.0000,0.00,,0.00,0.00,TRUE,O,N,O,0.0000,,0.000000,0.00,0.00,0.0000,0.00,0.00,0.00,,0.00,0.00,,0.00,31900,2003/03/12,1,1,FALSE,FALSE,0.00,0.00,0.00,0.00,CLIENT-XIZVCM18,?00001,,,,FALSE,0.00,,,,,,,,,0.0000,0,0,FALSE,FALSE,0.00,,,0.00,0.00,,,,0.00,2024-01-08 14:52:15.000,,0,0,,,,,,,FALSE,,FALSE,AVANTAGE
