Numéro séquentiel,Date du compte,Numéro du fournisseur,Numéro de G/L comptes à payer,Numéro de facture du fournisseur,Description de la transaction,Montant total du compte,Solde à payer,Numéro de G/L (1),Montant applicable (G/L 1),Numéro de G/L (2),Montant applicable (G/L 2),Numéro de G/L (3),Montant applicable (G/L 3),Numéro de G/L (4),Montant applicable (G/L 4),Numéro de G/L (5),Montant applicable (G/L 5),Numéro de G/L (6),Montant applicable (G/L 6),Numéro de G/L (7),Montant applicable (G/L 7),Numéro de G/L (8),Montant applicable (G/L 8),Numéro de G/L (9),Montant applicable (G/L 9),Numéro de G/L (10),Montant applicable (G/L 10),Information - Ligne 1,Information - Ligne 2,Information - Ligne 3,Code d'identification,Nombre de postes supplémentaires ds GLSUP,Numéro de projet,Montant total de retenue,Solde de la retenue à payer,Numéro de G/L retenues à payer,Montant payé de TVQ sur retenues (taux 1),Montant payé de TVQ sur retenues (taux 2),Montant payé de TPS sur retenues,Calcul automatique de la taxe féd. (T/F),Calcul automatique de la taxe prov. (T/F),Conditions de paiement,Devise étrangère,No. de commande,Plusieurs commandes (T/F),Dénonciation de contrat,Niveau de taxe provinciale (1-21),Nom du fournisseur,PEXPORTGB,HASDOC,ACONECTID,ACONDATE,ACONTIME,PTOTSNAPX
000001,2002/12/31,ATELIER-FL,21300,solde,,280.66,0.00,21300,280.66,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,ATELIER FLY BIKE,FALSE,FALSE,0,,,0.00
000002,2002/12/31,COUVREUR-L,21300,solde,,8166.78,0.00,21300,8166.78,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,COUVREUR LOUIS BLAIS,FALSE,FALSE,0,,,0.00
000003,2002/12/31,D-H-ELECTR,21300,solde,,17.24,0.00,21300,17.24,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,D.H. ELECTRONIQUE ENR.,FALSE,FALSE,0,,,0.00
000004,2002/12/31,DUFRESNE-M,21300,solde,,428.40,0.00,21300,428.40,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,FALSE,FALSE,,,,FALSE,FALSE,1,DUFRESNE & MARTEL INC.,FALSE,FALSE,0,,,0.00
000005,2002/12/31,ELOI-MOISA,21300,solde,,966.21,0.00,21300,966.21,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,ELOI MOISAN INC.,FALSE,FALSE,0,,,0.00
000006,2002/12/31,EQUIP-PNEU,21300,solde,,763.77,0.00,21300,763.77,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,EQUIPEMENTS PNEUMATIQUES DU CAP INC.,FALSE,FALSE,0,,,0.00
000007,2002/12/31,GARAGE-TRE,21300,solde,,503.07,0.00,21300,503.07,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,GARAGE NORMAND TREPANIER INC.,FALSE,FALSE,0,,,0.00
000008,2002/12/31,ENTRE-A-M-,21300,solde,,76.68,0.00,21300,76.68,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,ENTREPRISES A.M. INC. (LES),FALSE,FALSE,0,,,0.00
000009,2002/12/31,GOUT-DEZIE,21300,solde,,621.13,0.00,21300,621.13,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,GOUTTIERES PIERRE DEZIEL,FALSE,FALSE,0,,,0.00
000010,2002/12/31,H-P-TERRAS,21300,solde,,395.39,0.00,21300,395.39,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,H.P. TERRASSEMENT (9006-3165- QC INC.),FALSE,FALSE,0,,,0.00
