Numéro du projet,Numéro du compte de G/L,Date de la transaction,Numéro séquentiel de la transaction,Montant réparti,Code d'activité,No identification unique,Transaction de facturation (T/F)
0000000001,33200,2003/07/07,P000958,23.27,00000,,FALSE
0000000001,33200,2003/10/02,P001218,68.04,00000,,FALSE
0000000001,33200,2003/09/26,P001295,55.08,00000,,FALSE
0000000001,33200,2003/09/26,P001299,-50.49,00000,,FALSE
0000000001,33200,2003/10/06,P001313,30.00,00000,,FALSE
0000000001,33200,2004/05/20,P002622,52.51,12400,,FALSE
0000000001,33200,2004/06/25,P002912,28.40,00000,,FALSE
0000000001,33200,2004/08/10,P003040,62.70,00000,,FALSE
0000000001,33200,2004/08/10,P003041,1.79,00000,,FALSE
0000000001,33200,2004/09/14,P003376,30.80,00000,,FALSE
0000000001,33200,2004/11/19,P003905,6.07,00000,,FALSE
0000000001,33200,2004/11/20,P003906,-2.17,00000,,FALSE
0000000001,33200,2004/11/30,P003921,1.25,00000,,FALSE
0000000001,33200,2004/11/20,P003944,15.38,06100,,FALSE
0000000001,33200,2004/11/29,P003960,7.56,00000,,FALSE
0000000001,33200,2004/11/29,P003961,-7.56,00000,,FALSE
0000000001,33200,2005/01/17,P004179,3.20,00000,,FALSE
0000000001,33200,2005/02/18,P004280,7.53,00000,,FALSE
0000000001,33200,2005/04/07,P004329,64.00,00000,,FALSE
0000000001,33200,2005/03/30,P004352,946.00,00000,,FALSE
0000000001,33200,2005/04/05,P004397,8.73,00000,,FALSE
0000000001,33200,2005/04/06,P004398,3.58,00000,,FALSE
0000000001,33200,2005/04/06,P004399,44.00,00000,,FALSE
0000000001,33200,2005/04/19,P004408,172.10,00000,,FALSE
0000000001,33200,2005/04/01,P004414,90.29,06100,,FALSE
0000000001,33200,2005/04/05,P004416,9.74,00000,,FALSE
0000000001,33200,2005/04/05,P004417,10.68,00000,,FALSE
0000000001,33200,2005/05/10,P004495,3.58,00000,,FALSE
0000000001,33200,2005/04/30,P004504,110.90,00000,,FALSE
0000000001,33200,2005/04/01,P004505,110.00,00000,,FALSE
0000000001,33200,2005/05/09,P004653,65.85,00000,,FALSE
0000000001,33200,2005/05/06,P004742,11.96,00000,,FALSE
0000000001,33200,2005/06/20,P004895,9.69,00000,,FALSE
0000000001,33200,2005/06/20,P004896,68.47,00000,,FALSE
0000000001,33200,2005/09/09,P005396,20.51,00000,,FALSE
0000000001,33200,2005/09/09,P005454,10.49,00000,,FALSE
0000000001,33200,2005/11/02,P005667,10.60,06100,,FALSE
0000000001,33200,2005/10/03,P005687,33.10,06100,,FALSE
0000000001,33200,2005/10/03,P005689,9.90,06100,,FALSE
0000000001,33200,2005/11/02,P005746,51.58,06100,,FALSE
0000000001,33200,2006/02/01,P006120,38.40,00000,,FALSE
0000000001,33200,2006/09/01,P007291,2.88,00000,,FALSE
0000000001,33200,2006/10/16,P007431,8.37,00000,,FALSE
0000000001,33200,2006/11/07,P007499,87.50,00000,,FALSE
0000000001,33200,2006/11/09,P007500,1015.50,00000,,FALSE
0000000001,33200,2007/01/30,P007803,105.27,00000,,FALSE
0000000001,33200,2007/02/07,P007955,107.35,00000,,FALSE
0000000001,33200,2007/05/08,P008108,49.73,06100,,FALSE
0000000001,33200,2007/05/07,P008247,188.50,06100,,FALSE
0000000001,33200,2007/07/13,P008655,6.55,00000,,FALSE
0000000001,33200,2007/07/13,P008656,16.96,00000,,FALSE
0000000001,33200,2007/07/11,P008657,36.91,00000,,FALSE
0000000001,33200,2007/09/05,P009165,6.23,00000,,FALSE
0000000001,33200,2007/09/05,P009260,7.39,00000,,FALSE
0000000001,33200,2007/09/29,P009308,18.00,00000,,FALSE
0000000001,33200,2007/09/01,P009333,275.00,00000,,FALSE
0000000001,33200,2009/10/20,P014824,23.85,06100,,FALSE
0000000001,33200,2009/10/20,P014825,47.70,06100,,FALSE
0000000001,33200,2010/01/15,P015659,16.93,06100,,FALSE
0000000001,33200,2010/03/23,P015966,45.31,06100,,FALSE
0000000001,33200,2010/03/29,P016011,120.00,06100,,FALSE
0000000001,33200,2010/05/03,P016213,26.57,06100,,FALSE
0000000001,33200,2010/05/03,P016216,63.71,06100,,FALSE
0000000001,33200,2010/05/05,P016218,-9.63,00000,,FALSE
0000000001,33200,2010/05/27,P016498,39.60,06100,,FALSE
0000000001,33200,2010/06/28,P016671,250.00,00000,,FALSE
0000000001,33200,2010/07/01,P016714,85.00,06100,,FALSE
0000000001,33200,2011/07/19,P020186,48.45,00000,,FALSE
0000000001,33200,2011/07/20,P020272,96.90,00000,,FALSE
0000000001,33200,2011/07/20,P020273,-96.90,00000,,FALSE
0000000001,33200,2011/07/21,P020300,405.25,00000,,FALSE
0000000001,33200,2011/08/23,P020453,27.26,00000,,FALSE
0000000001,33200,2011/08/23,P020454,-20.02,00000,,FALSE
0000000001,33200,2011/09/20,P020886,4.81,,,FALSE
0000000001,33200,2011/10/31,P021375,63.57,00000,,FALSE
0000000001,33200,2012/05/14,P023229,6.45,06100,,FALSE
0000000001,33200,2012/05/16,P023230,12.56,06100,,FALSE
0000000001,33200,2012/09/06,P024554,1323.80,00000,,FALSE
0000000001,33200,2013/05/07,P026691,94.98,00000,,FALSE
0000000001,33200,2013/05/30,P026878,320.00,00000,,FALSE
0000000001,33200,2013/08/14,P027490,66.68,00000,,FALSE
0000000001,33200,2013/08/21,P027565,7.45,00000,,FALSE
0000000001,33200,2013/09/05,P027749,119.25,00000,,FALSE
0000000001,33200,2013/10/04,P027890,5.78,00000,,FALSE
0000000001,33200,2013/10/25,P028095,248.25,00000,,FALSE
0000000001,33200,2013/11/27,P028629,59.64,00000,,FALSE
0000000001,33200,2013/11/28,P028630,-59.64,00000,,FALSE
0000000001,33200,2013/11/27,P028636,18.24,00000,,FALSE
0000000001,33200,2014/01/07,P029058,8.72,00000,,FALSE
0000000001,33200,2016/08/08,P035851,244.51,00000,,FALSE
0000000001,33200,2016/08/19,P035994,279.51,00000,,FALSE
0000000001,33200,2016/12/05,P037228,129.14,00000,,FALSE
0000000001,33200,2017/09/21,P038682,-129.14,00000,,FALSE
0000000001,33200,2017/10/25,P038923,12.34,06100,,FALSE
0000000001,33200,2020/06/02,P047402,12.98,06100,,FALSE
0000000001,33200,2022/09/01,P055639,56.00,06100,,FALSE
0000000001,33200,2022/09/28,P055834,286.56,06100,,FALSE
0000000001,33200,2023/08/09,P059013,825.21,06100,,FALSE
0000000001,33200,2023/08/10,P059014,-259.94,06100,,FALSE
0000000001,33500,2004/07/13,P002925,229.00,06100,,FALSE
0000000001,33500,2005/01/29,P004132,157.50,00000,,FALSE
0000000001,33500,2005/11/03,P005693,50.00,06100,,FALSE
0000000001,33500,2013/06/17,P027130,150.00,00000,,FALSE
0000000001,33500,2013/08/01,P027768,900.00,00000,,FALSE
0000000001,33500,2015/06/26,P033008,29.00,06100,,FALSE
0000000001,33500,2016/07/27,P035850,1100.00,00000,,FALSE
0000000001,33500,2017/12/21,P039567,371.95,00000,,FALSE
0000000001,33600,2003/08/10,P000958-02,0.80,00000,,FALSE
0000000001,33600,2004/10/21,P003376-02,1.06,00000,,FALSE
0000000001,33600,2004/12/13,P003905-02,0.21,00000,,FALSE
0000000001,33600,2004/12/13,P003906-02,-0.07,00000,,FALSE
0000000001,33600,2004/12/13,P003921-02,0.04,00000,,FALSE
0000000001,33600,2005/02/10,P004179-02,0.11,00000,,FALSE
0000000001,33600,2005/05/18,P004397-02,0.30,00000,,FALSE
